No.	분류	스킬명	난이도	유형	설명	획득 경로/필요 스킬
146	합체	[룬 포지]	상	액티브	고대의 룬 문자를 무기나 갑옷에 직접 새겨, 영구적인 마법 장비를 제작하는 비술.	[대장장이] 80% + [룬 문자 해독] 70%
147	합체	[지휘자]	중	액티브	다수의 아군에게 동시에 세밀한 전술을 전달하여 완벽한 연계 공격을 이끌어낸다.	[합격술] 80% + [전음입밀] 70%
148	합체	[월드 가든]	중	액티브	척박한 땅을 비옥한 정원으로 바꾸고, 그곳에서 자라나는 신비한 재료로 기적을 창조한다.	[테라포밍] 80% + [미식 연금술] 80%
149	합체	[빌드 마스터]	중	액티브	단순한 쉼터를 넘어, 자동 방어 시설과 강화 진법이 갖춰진 강력한 '요새'를 건설한다.	[간이 쉼터 건설] 80% + [진법술사] 80%
150	합체	[크리쳐 콜렉터]	중	액티브	몬스터를 죽여 변신하는 것을 넘어, 살아있는 채로 포획하여 자신의 '컬렉션'으로 삼는다.	[셰이프시프터] 80% + [포박] 80%
151	합체	[스토리텔러]	상	액티브	세상의 모든 이야기를 알고 있으며, 그 이야기를 현실에 구현하여 기적을 일으킨다.	[바드] 80% + [아카식 레코드] 80%
152	합체	[그래피티 아티스트]	중	액티브	벽이나 바닥에 마력이 담긴 그림(그래피티)을 그려, 그 위를 지나가는 대상에게 효과를 발동시킨다.	[그림] 80% + [룬 각인] 80%
153	합체	[아바레스트]	중	패시브/액티브	마력이 아닌, 기계 공학과 화약의 힘으로 석궁을 개조하여 연발 사격이나 폭발적인 공격을 한다.	[석궁술] 80% + [스팀펑크 공학자] 80%
154	합체	[카르마]	상	패시브/액티브	모든 행동에는 업보가 따른다는 법칙을 구현한다. 선행은 축복으로, 악행은 저주로 돌아온다.	[인과 역전] 80% + [심판] 80%
155	합체	[샌드맨]	중	액티브	모래를 다루어 적의 눈을 멀게 하고, 잠의 가루를 뿌려 영원한 꿈으로 인도한다.	[지형 변화] 80% + [몽환술사] 80%
156	합체	[스카우터]	중	패시브/액티브	상대의 전투력을 수치화하여 보고, 가장 치명적인 약점을 간파하는 분석가.	[천리안] 80% + [약점 분석] 80%
157	합체	[뱅가드]	중	액티브	항상 선두에서 적진을 돌파하고, 아군을 위해 길을 여는 용맹한 선봉장.	[방패 돌격] 80% + [전투의 함성] 80%
158	합체	[오라클]	상	액티브	신의 목소리를 듣고, 모호하지만 반드시 일어날 미래를 예언하는 신탁관.	[예지] 80% + [신탁] 80%
159	합체	[데드 아이]	상	액티브	숨을 멈추고, 심장이 멎은 듯한 극도의 집중 상태에서 필중의 일격을 날린다.	[저격] 80% + [심안] 80%
160	합체	[포트리스]	상	액티브	움직이는 요새. 거대한 골렘의 몸체에 각종 방어 시설을 탑재하여 전장을 지배한다.	[빌드 마스터] 80% + [골렘 마스터] 80%
161	합체	[팬텀]	상	패시브/액티브	물질과 비물질의 경계를 넘나드는 유령 같은 존재. 벽을 통과하고, 방어를 무시한다.	[유령의 일격] 80% + [위상 변화] 80%
162	합체	[바이러스]	중	액티브	기계와 골렘에게 치명적인 '논리 바이러스'를 퍼뜨려, 시스템을 파괴하고 제어권을 빼앗는다.	[마력 역병] 80% + [기계 공학] 80%
163	기본	[검술]	하	패시브/액티브	검을 다루는 기본.	검 계열 무기로 특정 행동 반복 시 습득
164	기본	[한손검술]	하	패시브	한손검 사용 시 공격 속도와 정확도가 소폭 상승한다.	한손검 장착 후 전투 지속
165	기본	[양손검술]	하	패시브	양손검의 무게를 이용해 강력한 공격을 구사한다.	양손검 장착 후 전투 지속
166	기본	[쾌검]	하	패시브	빠르고 날카로운 베기에 집중한다.	공격 속도가 빠른 한손검으로 치명타 연속 발생 시 습득
167	기본	[중검]	하	패시브	묵직하고 강력한 베기에 집중한다.	공격 속도가 느린 양손검으로 적을 넘어뜨리는 공격 반복 시 습득
168	기본	[발검술]	하	액티브	검을 뽑는 동시에 적을 베는 기술. 선제공격 시 위력이 극대화된다.	납도 상태에서 전투 돌입 시 첫 공격을 성공시키는 행동 반복
169	기본	[어검술]	중	액티브	마나나 내공으로 검을 조종하여 원거리의 적을 공격한다.	검을 손에서 놓친 상태에서 마력으로 검을 되찾아오려는 시도 반복
170	기본	[검강]	중	패시브/액티브	검 끝에 검기를 맺히게 하여 공격 범위를 늘린다.	공격이 닿지 않는 거리의 적을 계속해서 공격하려는 시도
171	기본	[검기]	상	액티브	순수한 검기를 검에서 방출하여 원거리 공격을 한다.	검강 숙련도 100% 달성 후, 특정 퀘스트나 시련 통과
172	기본	[심검]	최상	액티브	마음으로 검을 다루는 경지. 보이지 않는 검으로 적을 벤다.	눈을 감은 상태로 전투에서 100번 이상 승리
173	기본	[막기]	하	액티브	검으로 적의 공격을 막아낸다. 완벽히 막지 못하면 일부 피해를 입는다.	적의 공격을 검으로 막는 행동 반복
174	기본	[흘리기]	하	액티브	적의 공격을 검으로 받아 흘려보낸다.	타이밍에 맞춰 막기 성공 시 낮은 확률로 습득
175	기본	[쳐내기]	하	액티브	적의 무기를 강하게 쳐내 균형을 무너뜨린다.	적이 공격하는 순간 동시에 공격하여 무기를 부딪히는 행동 반복
176	기본	[무장 해제]	중	액티브	적의 무기를 쳐서 떨어뜨린다.	쳐내기 스킬로 적의 무기를 10회 이상 놓치게 만들었을 때
177	기본	[이화접목]	상	액티브	적의 힘을 역이용하여 반격한다.	흘리기 스킬 숙련도가 높은 상태에서 자신보다 강한 적의 공격을 받아넘겼을 때
178	기본	[낙영검법]	중	액티브	꽃잎이 흩날리듯 현란한 검무로 적을 교란한다.	회피와 공격을 동시에 반복하며 적을 혼란시키는 플레이 스타일
179	기본	[태산압정]	중	액티브	산이 내리누르듯 묵직하게 검을 내려친다.	점프 공격으로 적을 100회 이상 처치
180	기본	[삼재검법]	하	액티브	천, 지, 인 삼재의 원리를 담은 기본적인 연계 검법.	찌르기, 베기, 내려치기를 순서대로 사용하는 콤보 성공 시 습득
181	기본	[회풍무류]	중	액티브	바람처럼 맴돌며 적의 사각을 노린다.	적의 등 뒤에서 가하는 공격을 50회 이상 성공
182	기본	[절명검]	상	액티브	일격에 모든 것을 거는 필살의 찌르기.	체력이 1% 남은 상태에서 찌르기 공격으로 보스를 처치
183	기본	[쾌도난마]	상	액티브	쾌검의 극의. 얽힌 실을 자르듯 적의 방어를 무너뜨린다.	방어 자세를 취한 적을 1초 안에 5회 이상 공격하여 방어를 풀었을 때
184	기본	[철혈검심]	중	패시브	싸울수록 피를 갈망하며 공격력이 증가하는 패시브.	출혈 상태에서 전투를 10회 이상 승리
185	기본	[무형검]	최상	패시브/액티브	검의 형체가 보이지 않을 정도로 빠른 검술.	민첩 스탯이 일정 수치 이상이고, 공격 속도 증가 버프를 받은 상태에서 전투
186	기본	[심즉살]	최상	패시브	마음으로 죽이고자 하면 반드시 죽음에 이르게 한다는 필살의 의지.	암살 스킬로 보스 몬스터를 한 번에 처치하는 데 성공
187	기본	[만화부동]	상	패시브	수많은 변화 속에서도 흔들리지 않는 방어 검술.	한 자리에서 움직이지 않고 100번 이상의 공격을 막아냈을 때
188	기본	[검의 노래]	하	액티브	검을 휘두를 때 나는 소리로 아군의 사기를 진작시킨다.	파티 플레이 중 검으로 적의 공격을 연속으로 막아내어 아군을 보호했을 때
189	기본	[듀얼리스트]	하	패시브	1:1 결투 상황에서 모든 능력치가 소폭 상승한다.	주변에 다른 적이 없는 상태에서 1:1 전투를 50회 이상 승리
190	기본	[레이피어 검술]	중	패시브	찌르기에 특화된 귀족 검술.	찌르기 공격으로 치명타를 100회 이상 성공
191	기본	[에스톡]	중	액티브	갑옷의 틈새를 노리는 송곳 같은 찌르기.	중갑을 입은 적의 특정 부위를 반복해서 공격
192	기본	[백병전]	하	패시브	좁은 공간에서의 전투에 능숙해진다.	동굴이나 좁은 복도에서 100마리 이상의 적을 처치
193	기본	[소드 댄스]	중	액티브	여러 적 사이를 오가며 빠르게 베는 기술.	3마리 이상의 적에게 동시에 포위된 상태에서 회피와 공격을 반복
194	기본	[가드 브레이크]	하	액티브	적의 방어 자세를 강제로 무너뜨린다.	방패를 든 적의 방어를 50회 이상 공격하여 풀었을 때
195	기본	[바람의 검]	중	액티브	공격 속도를 일시적으로 대폭 상승시키는 버프.	공격 속도 증가 물약을 마시고 1분 안에 10마리 이상의 적을 처치
196	기본	[대지 가르기]	중	액티브	양손검으로 땅을 갈라 충격파를 보낸다.	양손검으로 땅을 내려찍는 공격을 반복
197	기본	[회전 베기]	하	액티브	팽이처럼 회전하며 주변의 모든 적을 공격한다.	제자리에서 회전하며 공격하는 행동 반복
198	기본	[처형]	상	액티브	체력이 낮은 적에게 즉사 확률이 생기는 공격.	체력이 10% 이하인 적을 100마리 이상 처치
199	기본	[소닉 블레이드]	최상	액티브	음속에 가까운 속도로 베어 충격파를 발생시킨다.	바람 속성 정령을 매우 빠른 검으로 베었을 때
200	기본	[흐르는 검]	중	패시브	물 흐르듯 부드러운 움직임으로 적의 공격을 흘려보낸다.	물 속에서 전투하며 회피와 흘리기를 반복
201	기본	[섬광]	하	액티브	눈부신 빛을 내는 검격으로 적의 시야를 잠시 멀게 한다.	빛나는 수정 동굴에서 금속 검으로 빛을 반사시키는 행동 반복
202	기본	[수호자의 검]	중	패시브	아군 주변에서 싸울 때 방어 관련 능력치가 상승한다.	체력이 낮은 아군을 50회 이상 보호하여 생존시켰을 때
203	기본	[폭풍의 눈]	중	패시브	회전 베기 중 이동이 가능해진다.	[회전 베기] 스킬을 사용하며 이동하려는 시도를 반복
204	기본	[거인의 검술]	중	패시브	공격 범위가 넓어지고 적을 밀어내는 힘이 강해진다.	자신보다 덩치가 2배 이상 큰 적을 50마리 이상 처치
205	기본	[죽음의 선고]	상	액티브	대상에게 표식을 남기고, 몇 초 후 큰 피해를 준다.	암살에 실패하여 적이 살아남았으나, 출혈 데미지로 몇 초 후 죽었을 때
206	기본	[공허의 검]	최상	액티브	공간을 베어 순간적으로 먼 거리를 공격한다.	공간 왜곡이 일어나는 지역에서 검을 휘둘렀을 때 낮은 확률로 습득
207	기본	[강철의 폭풍]	상	액티브	쉴 새 없이 양손검을 휘둘러 방어할 틈을 주지 않는다.	10초 이상 멈추지 않고 계속해서 양손검을 휘둘러 적을 제압했을 때
208	기본	[반향]	하	패시브	공격이 적중한 적 주변에 소리의 파동을 일으켜 추가 피해를 준다.	동굴 안에서 금속 무기로 벽을 쳐서 큰 소리를 내는 행동 반복
209	기본	[이도류]	특수	패시브	양손에 검을 들고 싸우는 기술.	한손검을 양손에 각각 장착하고 전투에서 10회 이상 승리
210	기본	[크레센트 슬래시]	중	액티브	반달 모양의 검기를 날린다.	검을 휘두르는 마지막 지점에서 힘을 더 주어 검기를 날리려는 시도
211	기본	[검 장비 숙련]	하	패시브	검 계열 무기 장착 시 요구 스탯이 감소한다.	자신의 레벨보다 높은 레벨 제한의 검을 계속해서 장착 시도
212	기본	[검 전문가]	중	패시브	검 사용 시 모든 관련 스킬 효과가 증가한다.	검 계열 스킬을 10개 이상 습득하고, 숙련도를 모두 50% 이상 달성
213	기본	[도법]	하	패시브/액티브	도를 다루는 기본. 베는 것에 특화되어 있다.	도(Blade) 계열 무기로 100회 이상 베기 공격 성공
214	기본	[혈풍도]	중	액티브	피바람을 일으키듯 잔혹하고 빠른 도법.	출혈 상태의 적을 100마리 이상 처치
215	기본	[파산격]	중	액티브	산을 부술 듯한 기세로 내리치는 강력한 공격.	둔기처럼 도로 바위나 방패를 50회 이상 파괴
216	기본	[월광도법]	중	패시브	달빛처럼 은은하고 차가운 도법. 밤에 위력이 증가한다.	밤 시간(게임 시간)에 도를 사용하여 100마리 이상의 적을 처치
217	기본	[광풍사]	중	액티브	미친 바람처럼 예측 불가능하게 도를 휘두른다.	혼란 상태에서 전투를 10회 이상 승리
218	기본	[단두]	하	액티브	적의 목을 노리는 일격.	인간형 적의 목 부위를 50회 이상 공격
219	기본	[발도]	하	액티브	도를 뽑는 동시에 적을 베는 기술.	납도 상태에서 전투 돌입 시 첫 공격을 성공시키는 행동 반복
220	기본	[마도]	중	패시브	마기를 실어 사용하는 사악한 도법.	마족의 영혼이 깃든 도를 장착하고 전투
221	기본	[역날]	하	액티브	날이 없는 부분으로 적을 제압하는 기술.	적을 죽이지 않고 체력 1로 만드는 데 20회 이상 성공
222	기본	[도강]	중	패시브/액티브	도에 강기를 실어 파괴력을 극대화한다.	공격력이 높은 도로 단단한 오브젝트를 계속해서 공격
223	기본	[요참]	하	액티브	적의 허리를 베는 공격.	네 발 짐승 몬스터의 허리 부분을 50회 이상 공격
224	기본	[난도질]	하	액티브	상대를 무참히 베어 공포 상태에 빠뜨린다.	단일 대상에게 1초 안에 5회 이상의 공격을 성공시키는 행동 반복
225	기본	[유엽도법]	하	패시브	버들잎처럼 가볍고 빠른 도법.	가벼운 도를 장착하고 회피와 공격을 반복
226	기본	[참마도]	중	패시브	거대한 도로 말까지 베어버리는 위력적인 도법.	탈것에 탄 적을 10마리 이상 처치
227	기본	[귀두도]	하	액티브	칼자루 끝으로 적의 혈도를 공격한다.	무기 손잡이로 적을 공격하여 기절시키는 행동 반복
228	기본	[쾌도]	하	패시브	속도에 모든 것을 건 도법.	공격 속도가 매우 빠른 도를 장착하고 전투
229	기본	[패도]	상	패시브	힘으로 모든 것을 굴복시키는 왕의 도법.	자신보다 레벨이 낮은 적 10마리 이상을 동시에 상대하여 승리
230	기본	[명경지수]	상	패시브	고요한 마음으로 상대의 움직임을 읽고 반격한다.	피격당하지 않고 전투에서 20회 이상 연속으로 승리
231	기본	[천마군림]	최상	패시브	마도의 극의. 세상을 지배하는 듯한 위압감을 뿜어낸다.	마왕 계열 보스를 처치하고 그 힘의 일부를 흡수
232	기본	[도 전문가]	중	패시브	도 사용 시 모든 관련 스킬 효과가 증가한다.	도 계열 스킬을 10개 이상 습득하고, 숙련도를 모두 50% 이상 달성
233	기본	[창술]	하	패시브/액티브	창을 다루는 기본.	창 계열 무기로 특정 행동 반복 시 습득
234	기본	[봉술]	하	패시브/액티브	봉을 다루는 기본.	봉 계열 무기로 특정 행동 반복 시 습득
235	기본	[일점돌파]	상	액티브	방어력이 높은 적의 한 점을 노려 방어력을 무시한다.	갑옷이나 방패의 한 부분을 10회 이상 연속으로 공격
236	기본	[용의 꼬리]	하	액티브	창이나 봉의 뒷부분으로 후방의 적을 공격한다.	자신의 등 뒤에 있는 적을 공격하는 행동 반복
237	기본	[횡소천군]	중	액티브	창을 휘둘러 주변의 모든 적을 쓸어버린다.	창을 휘둘러 한 번에 3마리 이상의 적을 동시에 공격
238	기본	[풍차]	하	액티브	무기를 머리 위로 돌려 날아오는 투사체를 쳐낸다.	날아오는 화살이나 마법을 창이나 봉으로 쳐내는 시도
239	기본	[기마술]	하	패시브	탈것 위에서 전투 시 명중률과 공격력이 증가한다.	탈것에 탑승한 상태로 100마리 이상의 적을 처치
240	기본	[투창]	하	액티브	창을 던져 원거리의 적을 공격한다.	창 계열 무기를 원거리의 적에게 던지는 행동 반복
241	기본	[나선경]	중	액티브	창을 회전시켜 찌르는 힘을 극대화한다.	찌르기 공격 시 마우스나 키를 회전시키는 조작 성공
242	기본	[독룡출동]	중	액티브	땅을 기는 용처럼 낮은 자세에서 기습적으로 찌른다.	앉은 상태에서 찌르기 공격을 100회 이상 성공
243	기본	[타초경사]	하	액티브	풀을 쳐 뱀을 놀라게 하듯, 주변을 공격해 숨은 적을 찾아낸다.	숨어있는 적 근처의 오브젝트를 공격하여 적을 드러나게 했을 때
244	기본	[양가창법]	중	패시브/액티브	송나라 명장 양업의 후예들이 사용했다는 변화무쌍한 창술.	찌르기와 휘두르기를 번갈아 사용하는 콤보 50회 이상 성공
245	기본	[항마선장]	특수	패시브	요마를 물리치는 신성한 힘이 깃든 장법.	봉으로 악마나 언데드 몬스터를 100마리 이상 처치
246	기본	[타구봉법]	최상	액티브	개를 때리는 봉법. 변화무쌍하여 예측이 불가능하다.	개나 늑대형 몬스터를 상대로 오직 봉만 사용하여 100마리 이상 처치
247	기본	[진퇴양난]	하	액티브	적이 공격하지도, 물러서지도 못하게 계속해서 견제한다.	최대 사거리에서 창으로 적을 계속 찔러 접근하지 못하게 했을 때
248	기본	[역린]	상	액티브	용의 역린을 건드린 듯한 분노의 일격.	치명타 공격을 받은 직후 3초 안에 반격하여 적을 처치
249	기본	[방천화극]	중	패시브	창과 월도를 합친 방천화극을 다루는 기술.	방천화극 무기 장착 후 100마리 이상 처치
250	기본	[장창방진]	하	액티브	아군과 함께 창으로 벽을 만들어 적의 돌격을 저지한다.	파티원과 함께 창을 들고 좁은 길목을 방어하는 데 성공
251	기본	[유성]	중	액티브	창을 던져 하늘에서 떨어지는 유성처럼 공격한다.	높은 곳에서 아래에 있는 적에게 투창을 성공시켰을 때
252	기본	[견제]	하	액티브	적이 스킬을 시전할 때 방해할 확률이 높아진다.	스킬 시전 중인 적을 공격하여 50회 이상 시전을 방해
253	기본	[할버드]	하	패시브	창으로 베는 공격이 가능해진다.	할버드 무기 장착 후 100마리 이상 처치
254	기본	[폴 액스]	하	패시브	도끼와 창의 특성을 합친 무기를 다룬다.	폴 액스 무기 장착 후 100마리 이상 처치
255	기본	[관통]	중	액티브	일직선상의 모든 적을 꿰뚫는다.	창이나 화살로 한 번에 2마리 이상의 적을 동시에 공격
256	기본	[전장의 지휘자]	중	패시브	주변 아군의 공격 범위를 늘려준다.	파티 리더 상태에서 창을 들고 전투에서 20회 이상 승리
257	기본	[창 전문가]	중	패시브	창 계열 스킬을 10개 이상 습득하고, 숙련도를 모두 50% 이상 달성	창 계열 스킬 10개 이상 습득 및 숙련도 50% 이상
258	기본	[둔기술]	하	패시브/액티브	둔기를 다루는 기본.	둔기 계열 무기로 100회 이상 공격 성공
259	기본	[도끼술]	하	패시브/액티브	도끼 계열 무기로 100회 이상 공격 성공	도끼 계열 무기로 100회 이상 공격 성공
260	기본	[두개골 분쇄]	하	액티브	머리를 노려 기절시킬 확률이 있는 공격.	둔기로 인간형 적의 머리를 공격하여 20회 이상 기절시켰을 때
261	기본	[지면 강타]	하	액티브	땅을 내리쳐 주변 적의 이동 속도를 감소시킨다.	둔기나 도끼로 땅을 내려치는 공격을 100회 이상 사용
262	기본	[방패 파괴자]	하	패시브	방패에 가하는 피해가 대폭 증가한다.	둔기나 도끼로 방패를 50회 이상 파괴
263	기본	[철퇴]	하	패시브	쇠사슬에 철구를 단 철퇴를 휘두른다.	철퇴 무기 장착 후 100마리 이상 처치
264	기본	[판관필]	중	패시브	붓 모양의 무기로 혈도를 공격한다.	판관필 무기로 적의 급소를 50회 이상 공격
265	기본	[광전사]	중	패시브	체력이 낮아질수록 공격 속도가 증가한다.	체력이 20% 이하인 상태에서 전투를 20회 이상 승리
266	기본	[꿰뚫는 외침]	하	액티브	포효하여 주변 적의 방어력을 일시적으로 감소시킨다.	도끼를 든 상태에서 포효 스킬을 100회 이상 사용
267	기본	[회전 도끼]	중	액티브	부메랑처럼 도끼를 던져 적을 맞추고 돌아오게 한다.	손도끼를 던지고 다시 회수하는 행동을 반복
268	기본	[사지 절단]	상	액티브	적의 팔이나 다리를 노려 특정 능력을 봉인하려 시도한다.	도끼로 적의 팔이나 다리 부위를 50회 이상 집중 공격
269	기본	[해머 타임]	상	액티브	공격 속도가 느려지는 대신, 모든 공격이 적을 잠시 기절시킨다.	무거운 망치로 적을 연속으로 기절시키는 데 성공
270	기본	[천둥의 일격]	특수	액티브	공격에 번개 속성이 부여된다.	폭풍우 속에서 쇠망치를 들고 전투에서 승리
271	기본	[궤멸]	최상	액티브	전방의 지면을 뒤엎어 모든 것을 파괴한다.	거대한 해머로 지면을 내리쳐 맵 오브젝트를 100개 이상 파괴
272	기본	[잔혹함]	중	패시브	치명타 피해량이 증가한다.	도끼로 치명타 공격을 100회 이상 성공
273	기본	[죽음의 소용돌이]	상	액티브	제자리에서 빠르게 회전하며 피의 회오리를 일으킨다.	양날 도끼를 들고 회전 베기 스킬을 100회 이상 사용
274	기본	[약탈]	하	패시브	적을 처치 시 추가적인 전리품을 획득할 확률이 생긴다.	도끼를 든 산적형 몬스터를 100마리 이상 처치
275	기본	[단두대]	중	액티브	넘어진 적의 목을 노리는 강력한 내려찍기 공격.	넘어진 적을 도끼로 내려찍어 50마리 이상 처치
276	기본	[광기]	중	액티브	모든 방어력을 포기하고 공격에만 집중한다.	방어구 없이 도끼만 들고 전투에서 10회 이상 승리
277	기본	[언데드 브레이커]	하	패시브	해골 등 뼈로 된 적에게 치명적인 피해를 준다.	둔기로 언데드 몬스터를 100마리 이상 처치
278	기본	[지형 파괴]	하	액티브	주변의 바위나 벽을 부숴 파편으로 피해를 줄 수 있다.	둔기로 파괴 가능한 오브젝트를 100개 이상 파괴
279	기본	[산산조각]	중	액티브	얼어붙은 적을 공격 시 즉사시킬 확률이 생긴다.	얼어붙은 적을 둔기로 깨뜨려 20마리 이상 처치
280	기본	[지축을 울리는 자]	중	패시브	모든 강타 스킬의 범위가 증가한다.	지면 강타 스킬로 한 번에 5마리 이상의 적을 맞추는 데 성공
281	기본	[벽력]	상	액티브	하늘에서 벼락이 떨어지는 듯한 강력한 내려찍기.	가장 높은 곳에서 뛰어내리며 내려찍기 공격으로 보스를 처치
282	기본	[둔기/도끼 전문가]	중	패시브	해당 무기 장착 시 모든 관련 스킬 효과가 증가한다.	둔기/도끼 계열 스킬 10개 이상 습득 및 숙련도 50% 이상
283	기본	[궁술]	하	패시브/액티브	활을 다루는 기본.	활 계열 무기로 특정 행동 반복 시 습득
284	기본	[석궁술]	하	패시브/액티브	석궁을 다루는 기본.	석궁 계열 무기로 특정 행동 반복 시 습득
285	기본	[암기술]	하	패시브/액티브	암기를 다루는 기본.	투척 무기로 특정 행동 반복 시 습득
286	기본	[만천화우]	최상	액티브	하늘을 뒤덮을 만큼 많은 암기를 한 번에 뿌린다.	100개 이상의 암기를 10초 안에 모두 투척
287	기본	[독수리의 눈]	하	액티브	시야가 넓어지고 조준 시 확대된다.	활이나 석궁으로 최대 사거리의 적을 50회 이상 명중
288	기본	[다중 발사]	중	액티브	한 번에 여러 발의 화살을 부채꼴로 발사한다.	한 번의 공격으로 3마리 이상의 적을 동시에 맞추는 데 성공
289	기본	[관통 사격]	중	액티브	화살이 적을 꿰뚫어 뒤의 적까지 피해를 준다.	한 발의 화살로 2마리 이상의 적을 동시에 처치
290	기본	[폭발 화살]	중	액티브	맞으면 폭발하는 특수 화살을 쏜다.	화약과 화살을 조합하여 제작 성공
291	기본	[저격]	상	액티브	매우 긴 시간 동안 조준하여 치명적인 일격을 가한다.	은신 상태에서 최대 사거리의 적을 헤드샷으로 10마리 이상 처치
292	기본	[죽음의 비]	상	액티브	하늘로 수많은 화살을 쏘아 특정 지역에 화살비를 내리게 한다.	곡사 스킬로 100회 이상 공격 성공
293	기본	[철갑 화살]	중	액티브	중갑을 입은 적에게 효과적인 철갑 볼트를 발사한다.	석궁으로 중갑을 입은 적의 방어구를 50회 이상 파괴
294	기본	[자동 장전]	하	패시브	석궁의 장전 속도가 빨라진다.	석궁을 1000번 이상 발사
295	기본	[덫과 연계]	하	패시브	자신이 설치한 덫에 걸린 적에게 가하는 피해가 증가한다.	덫에 걸린 적을 활이나 석궁으로 100마리 이상 처치
296	기본	[바람 읽기]	하	패시브	바람의 방향과 세기를 계산하여 명중률을 높인다.	바람이 많이 부는 지역에서 원거리 공격을 100회 이상 성공
297	기본	[신궁]	상	패시브	활의 명인. 어떤 상황에서도 명중률이 보장된다.	명중률 100%로 전투를 50회 이상 승리
298	기본	[이형환위]	중	액티브	위치를 바꾸며 적을 교란하는 사격술.	회피 직후 1초 안에 원거리 공격을 성공시키는 행동 반복
299	기본	[유성추]	중	패시브	쇠사슬 끝에 달린 추를 던져 공격한다.	유성추 무기 장착 후 100마리 이상 처치
300	기본	[비도술]	하	패시브/액티브	작은 칼을 던지는 기술.	단검을 100회 이상 던져서 공격
301	기본	[금전표]	하	액티브	동전을 암기로 사용한다.	게임 재화(골드)를 100회 이상 던져서 공격
302	기본	[독사]	하	액티브	독을 바른 암기를 사용한다.	암기에 독을 바르는 조합을 50회 이상 성공
303	기본	[투골침]	중	액티브	뼈를 뚫는 위력을 지닌 침을 던진다.	암기로 해골 몬스터를 100마리 이상 처치
304	기본	[추혼]	중	패시브	상대를 끝까지 추격하는 암기.	도망가는 적을 암기로 50마리 이상 처치
305	기본	[무성]	중	패시브	소리 없이 날아가는 암기 기술.	은신 상태에서 암기로 적을 50마리 이상 처치
306	기본	[연환]	상	액티브	하나의 암기가 맞으면 연쇄적으로 다른 암기가 터져 나온다.	특수 제작된 연환 암기를 사용하여 100회 이상 공격
307	기본	[탄지신공]	중	액티브	손가락으로 돌멩이나 작은 물체를 총알처럼 튕겨낸다.	돌멩이를 던져 100마리 이상의 적을 처치
308	기본	[유도 화살]	상	액티브	마력을 담아 적을 추적하는 화살을 쏜다.	바람이 많이 부는 날 활을 쏘아 빗나간 화살이 우연히 다른 적에게 맞았을 때
309	기본	[별의 분노]	최상	액티브	밤에만 사용 가능한 기술. 별빛을 모아 강력한 빛의 화살을 쏜다.	달빛이 없는 밤에, 오직 별빛에 의지하여 원거리의 적을 10마리 이상 처치
310	기본	[곡예 사격]	중	액티브	공중으로 뛰어오르거나 어려운 자세에서 활을 쏜다.	점프 중이거나 구르는 중에 활을 쏘아 100회 이상 명중
311	기본	[침묵의 화살]	중	액티브	마법 시전 중인 적에게 명중 시 시전을 방해할 확률이 높다.	마법을 시전하는 적을 활로 50회 이상 공격하여 시전을 방해
312	기본	[사냥꾼의 직감]	하	패시브	주변에 있는 동물의 종류와 위치를 파악한다.	동물형 몬스터를 100마리 이상 처치하고 가죽을 벗겼을 때
313	기본	[위협 사격]	하	액티브	적의 머리 위나 발밑에 화살을 쏘아 경고하고 잠시 주춤하게 한다.	적을 맞추지 않고 바로 옆 땅이나 벽에 화살을 50회 이상 쏘았을 때
314	기본	[연사]	중	액티브	한 점에 여러 발의 화살을 빠르게 쏜다.	같은 대상에게 1초 안에 3발 이상의 화살을 연속으로 명중
315	기본	[올가미 화살]	하	액티브	맞은 적을 잠시 속박하는 그물 화살을 쏜다.	밧줄과 화살을 조합하여 제작 성공
316	기본	[마름쇠 뿌리기]	하	액티브	바닥에 마름쇠를 뿌려 자신을 추격하는 적에게 피해를 준다.	추격당하는 중에 뾰족한 아이템을 바닥에 버리는 행동 반복
317	기본	[표창술]	하	패시브/액티브	표창을 다루는 기술.	표창 무기 장착 후 100마리 이상 처치
318	기본	[독침]	하	액티브	독침을 불어 원거리의 적을 소리 없이 중독시킨다.	바람총과 독침을 조합하여 제작 성공
319	기본	[기습]	중	액티브	전투 이탈 후 다시 은신하여 공격하면 추가 피해를 준다.	전투에서 도망친 후, 다시 돌아와 해당 적을 10초 안에 처치하는 행동 반복
320	기본	[그림자 이동]	하	패시브	어두운 곳에서 은신 시 이동 속도가 빨라진다.	어두운 지역에서 은신 상태로 1시간 이상 누적 이동
321	기본	[약점 분석]	하	액티브	적을 조준하면 약점이 표시된다.	같은 종류의 몬스터를 100마리 이상 처치
322	기본	[사냥 매 소환]	하	액티브	사냥 매를 소환하여 정찰하거나 적의 시야를 방해한다.	특정 퀘스트를 통해 '매의 알'을 부화시키는 데 성공
323	기본	[활줄 튕기기]	하	액티브	근접한 적을 활줄로 쳐서 밀어낸다.	활을 든 상태에서 근접 공격을 받았을 때 반격 시도
324	기본	[거치대 설치]	하	액티브	석궁을 거치하여 명중률과 사거리를 극대화한다.	석궁을 든 상태에서 한 자리에서 움직이지 않고 10분 이상 사격
325	기본	[이동 사격]	하	패시브	움직이면서 활을 쏠 수 있다. 명중률은 감소한다.	달리면서 활을 쏘는 행동을 100회 이상 반복
